frame_num,risk_score,risk_level
87,0.0,LOW
88,3.7772430558982553,LOW
89,8.97776248557486,LOW
90,14.077626104823437,LOW
91,19.160048347456488,LOW
92,22.577805669307832,LOW
93,25.000860662247533,LOW
94,26.803222082693615,LOW
95,27.547563162849542,LOW
115,28.132063085059865,LOW
116,29.283724848401793,LOW
117,29.941232064817118,LOW
118,30.513920507740405,UNKNOWN
119,31.001748032722112,MEDIUM
120,31.191198554372928,MEDIUM
121,33.45021000859939,MEDIUM
122,35.20833151805254,MEDIUM
123,36.01480180904472,MEDIUM
124,36.153547737423196,MEDIUM
125,34.937565249557295,MEDIUM
126,33.70979243098631,MEDIUM
127,32.490513056327266,MEDIUM
128,31.279196254606187,MEDIUM
129,30.462376800999728,UNKNOWN
130,29.650566387346657,LOW
131,28.91098116484757,LOW
