frame_num,has_pose,joints_detected,nose_x,nose_y,nose_vx,nose_vy,left_shoulder_x,left_shoulder_y,left_shoulder_vx,left_shoulder_vy,right_shoulder_x,right_shoulder_y,right_shoulder_vx,right_shoulder_vy,left_hip_x,left_hip_y,left_hip_vx,left_hip_vy,right_hip_x,right_hip_y,right_hip_vx,right_hip_vy,left_knee_x,left_knee_y,left_knee_vx,left_knee_vy,right_knee_x,right_knee_y,right_knee_vx,right_knee_vy,left_ankle_x,left_ankle_y,left_ankle_vx,left_ankle_vy,right_ankle_x,right_ankle_y,right_ankle_vx,right_ankle_vy,shoulder_distance,hip_distance,left_leg_length,right_leg_length,torso_length,avg_joint_velocity,max_joint_velocity
45,True,9,537.3691681623459,545.0080296695232,0.0,0.0,516.851773917675,572.28202688694,0.0,0.0,503.15829062461853,570.3818874359131,0.0,0.0,502.14796739816666,650.1207311153412,0.0,0.0,485.8419631719589,648.7063632011414,0.0,0.0,512.3786630630493,707.4224072694778,0.0,0.0,474.1617668867111,707.133944272995,0.0,0.0,497.43540555238724,766.0926875472069,0.0,0.0,445.54838114976883,741.2404306530952,0.0,0.0,13.824688590726593,16.367229772378174,116.06766525516419,100.92634141482446,113.05677139086681,0.0,0.0
46,True,9,540.0476476558576,544.7510025097296,1.33257686244368,-0.1278742088525781,524.4656851591092,571.3392986276704,3.788015543002088,-0.46901903446251747,492.37030251896215,569.0199072736699,-5.367158261520602,-0.6776020707677326,513.9224530243761,650.128279646426,5.857953047865375,0.0037554881019049914,491.6672403089243,648.5605222918975,2.8981478293360126,-0.07255766629042784,516.5842150963878,708.8502675910696,2.0923144444470156,0.7103782694486646,483.2417904765685,707.4494404397304,4.517424671570836,0.15696326703256905,499.9476334523251,766.5517691599814,1.2498646268347429,0.22839881232564482,453.2939191638576,742.6780415959832,3.8535014995466477,0.7152293248199174,32.179079587061885,22.31036432093129,117.25921922213334,101.63965375608758,111.0295014076667,3.4713398749008504,5.857954251672346
47,True,9,544.9423770613173,542.9635279787099,4.156016210696959,-1.443309411414938,531.8931252999231,569.1176443970227,6.67270239747422,-1.858195695564541,495.9587470869428,565.319926295843,1.7312467368048177,-3.0732051305672536,522.283218712037,648.4010358845724,7.841736617819141,-1.3682720528588173,501.1613346977091,646.7851179490729,8.126238100606543,-1.4222708670896045,513.243223133818,708.2038630389961,-2.214242031009015,-0.36503721572768477,495.2255834331184,706.6621491851727,10.435430076951793,-0.5914733422449588,497.6313585869756,766.0146970367664,-1.5767348637833227,-0.378330049858273,465.92337620423206,753.9737233743418,10.809514161350085,9.10152536882674,36.13450152319165,21.183606281485403,120.16941165391759,112.83222435014747,109.77667137732479,6.612456842590668,14.130936290417022
48,True,9,550.6471167570198,541.8614684183407,5.014442054506667,-1.254161578267163,538.598928979821,568.4051618939927,6.691049763269851,-1.2231502380716073,499.939186336223,563.707581220031,2.977928277509389,-2.2634801943003655,528.2570745388355,648.6672949553437,6.80640838802735,-0.46228478487963764,509.50427164392295,647.3692303519105,8.246349851473665,-0.31017353779343204,512.3401673714575,710.228072535356,-1.4874782220052065,0.9592735116233452,506.2552931785186,708.9593981491798,10.764827177716352,1.0096865208841757,496.1187674964501,763.4909459088834,-1.5411812783840606,-1.5674932007120468,479.17338581566514,757.546962584192,12.162231019029615,6.037309092140131,38.94410052187126,18.797675072469083,119.23649440440191,114.27639876621568,110.80781518230225,6.571572562438495,13.578253364637295
49,True,9,555.1778377319441,541.9518163361685,4.805124075184889,-0.6723593315167063,544.9574428759447,568.1004826367928,6.547153334726451,-0.8257053097923397,503.2907290923046,562.9133804870296,3.1396004290882282,-1.6276869223518655,534.8855446757798,648.1859245747954,6.729410141035712,-0.47054359039408195,515.2415006435492,647.2512566109931,7.160591697133246,-0.22700397002747041,516.8357970034597,710.0883714536274,1.101559343086144,0.48372024153420445,515.1325068535233,710.0537735054268,9.948010502145172,1.046333457801943,499.20689922916625,761.5705853166198,0.4620360425734509,-1.7201875787033503,491.7495101941779,765.3783074846492,12.341332830628414,6.813632403400659,41.98834440936986,19.66626731595937,118.86566801412329,120.44033279338235,109.97037105032307,6.220207414514107,14.097307635325908
50,True,9,559.948740797704,542.9131964105253,4.792185022302866,-0.05463820279361997,550.2967834920664,568.5677505531701,6.090476196903718,-0.33682876203524326,508.5257023913508,563.4372513045611,3.931866374117604,-0.81417733152276,540.8311850676253,648.3504467611112,6.433064755481461,-0.23042356452441085,519.87818396341,647.7941707621236,6.206295359542816,0.06410407885487734,522.1400685937492,710.2371925782451,2.6906158007484233,0.3570940123043391,521.7996248883508,711.1541432412838,8.707496506556737,1.0667647154138968,502.35729412701653,760.6087503063892,1.4785115346402602,-1.43345249544417,502.921342059593,767.3007020990275,11.89914146664646,4.96424264330469,42.08497640325509,20.96038401986695,118.66830663228332,120.7035439393949,109.24397959477145,5.998960635901109,12.89314828367649
51,True,9,564.4947956249413,543.3897342381382,4.704053623114931,0.13555904936536695,555.1011762478116,569.0634119011513,5.629970596964784,-0.03874051574619014,513.8592486650232,564.3884346279435,4.433763391379065,-0.18205779597897986,543.8957054011529,647.9722171306822,5.22689607286829,-0.283348218458771,522.6675543761228,647.9020049914282,4.982803148828395,0.0797624556940378,522.9002571303647,710.1615178272068,1.9993911593618416,0.2021332744393512,528.5530368081138,710.7692076031544,8.007800929913431,0.5469569635639733,500.0656301443092,760.8425564563119,0.12853152329107154,-0.8364601711775683,517.1209416995293,766.6444446307969,12.722862414543105,2.9517202104773044,41.506047791243326,21.22826713808703,121.08174510017336,118.87191377147622,109.10735866950021,5.437190831485272,13.060776401896396
52,True,9,568.856568209598,543.9166015339022,4.583063601550354,0.27387928288870855,559.5089621888903,569.622959505768,5.1979509077129835,0.17274327812851478,519.3002858311705,565.400801452726,4.789816055819847,0.2401492338760609,546.7727628516747,647.7953036881167,4.396271546100645,-0.24572549215016515,525.1223770490506,647.9154718975649,4.089208768982878,0.056328204101534864,523.0764009956927,710.37054744199,1.354906935472887,0.20457100330294437,535.3321703364127,712.4036828386428,7.573489709851097,0.9313745747896913,496.6721781846551,761.2721670873194,-1.1164245498555734,-0.38892754024769266,533.7878315552148,773.0504485169072,14.11700322732203,4.172745652866471,40.42974490476935,21.650719290615477,124.04461742009808,125.43465420417814,109.02418747877782,5.331605383429111,14.720787560580332
53,True,9,574.4337810795428,544.8285183345279,4.934813912015088,0.4996299846063771,563.5616543730249,570.9195229950257,4.792734986534672,0.5703738158541497,525.8242997845039,566.9978240001992,5.4034106821508265,0.7202387179129535,548.7212553606254,649.8544363176833,3.5301973421159873,0.5697803736847179,529.618636797053,649.930136207462,4.23323171684095,0.7492275051496262,525.3944011129296,712.5739520951123,1.6956689683606756,0.9117991623367374,541.4305492170046,716.2591305222581,7.051565378508152,1.96597134667305,496.2467925570691,762.0972271054802,-0.8719208689906828,0.04060604605188489,549.5594532286407,778.4356318339607,14.702441018829658,4.601730854943531,37.94058057470646,19.102768554810385,123.90324180728672,130.04344876298202,110.82388456553448,5.404122547681133,15.405768360374116
54,True,9,579.4780541658397,547.1798953706987,4.973644660266655,1.156539047338402,567.44540231251,573.4240561792914,4.470270949878893,1.2565187279274297,530.9235127357739,568.8949505010777,5.295496242049909,1.137740800497914,551.6000241917649,652.1988576387191,3.2991024459631917,1.1993359711543676,534.1439631200094,651.8786187460707,4.336852561691369,1.1746643915433075,526.4908069610685,713.3739991192682,1.4830797951784251,0.8721549829178377,548.7562129822212,719.6628337021259,7.148802047067657,2.4760081090947863,495.91788621304323,761.9437575268817,-0.6792859395368254,-0.028242470045676787,562.7311078927659,780.9954734848847,14.159393074639688,3.877368679190662,36.80164692645883,17.458998284243613,123.06276261056475,132.24366534508377,111.06475851485706,5.312907367560438,14.680681187074498
